,Date,Location,Dead,Injured,Total,Description,State,Year
1,"May 20, 2010","West Memphis, Arkansas",4,2,6,"2010 West Memphis police shootings: A father and son shot two police officers during a traffic stop, killing both, before getting into a shootout with officers in a Walmart parking lot. In the shootout both shooters were killed and two more officers wounded.", Arkansas,2010
2,"February 12, 2010","Huntsville, Alabama",3,3,6,"2010 University of Alabama in Huntsville shooting: A biology professor opened fire on other faculty members, killing three and injuring three others, before she was arrested.", Alabama,2010
3,"January 19–20, 2010","Appomattox, Virginia",8,0,8,2010 Appomattox shootings: A man shot and killed four family members and four other individuals before being apprehended by police.[198], Virginia,2010
4,"January 12, 2010","Kennesaw, Georgia",4,1,5,"Penske office shooting: A former employee of a Penske truck rental business shot five people, four employees and one customer, at the business. Four people were killed and a fifth injured.", Georgia,2010
5,"January 7, 2010","St. Louis, Missouri",4,5,9,ABB plant shooting: An employee opened fire in the parking lot of an ABB Group power plant before entering the factory. He killed three people and injured five before committing suicide.[199], Missouri,2010
0,"December 16, 2011","Irwindale, California",3,2,5,"Southern California Edison shooting: An employee opened fire during the workday, and killed two and wounded two others before committing suicide.[195]", California,2011
1,"October 12, 2011","Seal Beach, California",8,1,9,Seal Beach shooting: A man entered his ex-wife's workplace and shot and killed eight people and injured one. He then fled the scene and was later arrested., California,2011
2,"September 6, 2011","Carson City, Nevada",5,7,12,"Carson City IHOP shooting: A man opened fire inside and outside an IHOP, and then targeted nearby local businesses. He killed four people and injured seven before committing suicide.", Nevada,2011
3,"August 7, 2011","Copley Township, Ohio",8,1,9,"2011 Copley Township shooting: A man killed seven people; including a 16-year-old and an 11-year-old, and injured one between three homes before being killed by responding police.[196]", Ohio,2011
4,"July 7, 2011","Grand Rapids, Michigan",8,2,10,"Grand Rapids mass murder: A man killed seven people and wounded two in a spree shooting in two homes, then took hostages in a third before committing suicide.", Michigan,2011
5,"June 19, 2011","Medford, New York",4,0,4,2011 Medford shooting: A man killed four people in a pharmacy robbery gone wrong. He was sentenced to life imprisonment.[197], New York,2011
